,committing,disadvantaged,decision
9557,Meyers Leonard,DeMarcus Cousins,CNC
9559,Patrick Patterson,Derrick Rose,INC
9560,Patrick Patterson,Carmelo Anthony,CNC
9561,Joakim Noah,Kyle Lowry,CNC
9562,Justin Holiday,DeMar DeRozan,CC
9563,Lucas Nogueira,Carmelo Anthony,CC
9564,Carmelo Anthony,Norman Powell,CC
9565,Carmelo Anthony,Patrick Patterson,CNC
9566,Brandon Jennings,Norman Powell,CC
9567,Brandon Jennings,Norman Powell,CC
9568,Jeff Green,Victor Oladipo,CNC
9571,Andre Roberson,Evan Fournier,CC
9572,Serge Ibaka,Russell Westbrook,CC
9574,Nikola Vucevic,Andre Roberson,CNC
9575,Serge Ibaka,Enes Kanter,CNC
9576,Evan Fournier,Russell Westbrook,CNC
9577,Isaiah Thomas,Langston Galloway,CNC
9578,Kelly Olynyk,Anthony Davis,CC
9579,Isaiah Thomas,Langston Galloway,CNC
9580,Amir Johnson,Anthony Davis,CNC
9582,Solomon Hill,Amir Johnson,CNC
9583,Anthony Davis,Isaiah Thomas,CC
9584,Kelly Olynyk,Anthony Davis,CNC
9585,Amir Johnson,Anthony Davis,CC
9587,Amir Johnson,Tim Frazier,CC
9588,Solomon Hill,Isaiah Thomas,CNC
9589,Kelly Olynyk,Tim Frazier,CC
9591,Omer Asik,Isaiah Thomas,CNC
9593,Anthony Davis,Marcus Smart,CNC
9594,Boris Diaw,Marc Gasol,CC
9595,Shelvin Mack,Marc Gasol,CC
9596,JaMychal Green,Gordon Hayward,IC
9597,Shelvin Mack,Mike Conley,CNC
9598,Mike Conley,Shelvin Mack,CNC
9599,Joe Ingles,JaMychal Green,CC
9600,Boris Diaw,Marc Gasol,CNC
9601,Shelvin Mack,Mike Conley,CC
9602,Mike Conley,Gordon Hayward,CNC
9603,Boris Diaw,Vince Carter,CC
9604,Patrick Patterson,Kyrie Irving,CNC
9606,Kyle Lowry,Kevin Love,CC
9607,Richard Jefferson,Patrick Patterson,CC
9608,Richard Jefferson,DeMar DeRozan,CC
9609,Jonas Valanciunas,Channing Frye,CNC
9610,Jonas Valanciunas,Kyrie Irving,CNC
9611,DeMar DeRozan,LeBron James,CNC
9612,Kyrie Irving,Kyle Lowry,CNC
9613,Patrick Patterson,LeBron James,CNC
9615,LeBron James,Patrick Patterson,CC
9617,Jonas Valanciunas,Kyrie Irving,CC
9618,Cory Joseph,LeBron James,CC
9619,Iman Shumpert,DeMar DeRozan,CNC
9621,Norman Powell,Iman Shumpert,CC
9622,Joe Harris,Jordan Clarkson,CC
9623,Timofey Mozgov,Yogi Ferrell,CNC
9624,Trevor Booker,Brandon Ingram,CC
9625,D'Angelo Russell,Joe Harris,CNC
9626,Joe Harris,D'Angelo Russell,CC
9627,Joe Harris,Julius Randle,INC
9628,Joe Harris,Brandon Ingram,CC
9629,Julius Randle,Bojan Bogdanovic,CNC
9630,Bojan Bogdanovic,Jordan Clarkson,CC
9631,Timofey Mozgov,Justin Hamilton,IC
9632,Yogi Ferrell,D'Angelo Russell,CC
9633,D'Angelo Russell,Bojan Bogdanovic,CNC
9635,Hassan Whiteside,Kent Bazemore,CNC
9637,Paul Millsap,Hassan Whiteside,CNC
9638,Hassan Whiteside,Dennis Schroder,CNC
9639,Dennis Schroder,Tyler Johnson,CNC
9640,Paul Millsap,Tyler Johnson,CNC
9641,Tyler Johnson,Paul Millsap,CNC
9643,Paul Millsap,Dion Waiters,CNC
9644,Kent Bazemore,Hassan Whiteside,CNC
9645,Rodney McGruder,Kyle Korver,INC
9646,Tim Hardaway Jr.,Tyler Johnson,CNC
9647,James Johnson,Paul Millsap,CC
9648,Josh Richardson,Kent Bazemore,CC
9649,Tyler Johnson,Kent Bazemore,CNC
9650,Josh Richardson,Dennis Schroder,CC
9651,Paul Millsap,Dion Waiters,CNC
9652,Marcus Smart,Seth Curry,CNC
9653,Wesley Matthews,Isaiah Thomas,CNC
9654,Isaiah Thomas,Harrison Barnes,CNC
9656,Harrison Barnes,Isaiah Thomas,CC
9657,Isaiah Thomas,Harrison Barnes,CNC
9659,Harrison Barnes,Isaiah Thomas,CC
9660,Avery Bradley,Seth Curry,CNC
9661,DeAndre Jordan,Mike Conley,CNC
9663,Marc Gasol,Chris Paul,CNC
9665,Chris Paul,Mike Conley,CNC
9666,Mike Conley,Chris Paul,CC
9667,Marc Gasol,Chris Paul,CNC
9668,James Ennis,Luc Mbah a Moute,CNC
9669,Blake Griffin,Zach Randolph,CNC
9670,Marc Gasol,DeAndre Jordan,CNC
9672,Luc Mbah a Moute,Vince Carter,CNC
9674,Chris Paul,James Ennis,CC
9675,Mike Conley,Jamal Crawford,CNC
9676,Chris Paul,Mike Conley,CC
9677,James Ennis,Chris Paul,CNC
9678,Andre Roberson,James Harden,CNC
9681,Nene,Andre Roberson,CNC
9682,Nene,Steven Adams,CNC
9683,Nene,Steven Adams,CNC
9684,Steven Adams,Eric Gordon,CNC
9685,Ryan Anderson,Russell Westbrook,CNC
9687,Ryan Anderson,Andre Roberson,CNC
9688,Andre Roberson,James Harden,INC
9689,Nene,Russell Westbrook,CC
9690,Nene,Andre Roberson,CNC
9691,Eric Gordon,Victor Oladipo,CNC
9692,Trevor Ariza,Alex Abrines,CNC
9693,Russell Westbrook,Clint Capela,INC
9694,Russell Westbrook,Clint Capela,CNC
9695,Corey Brewer,Russell Westbrook,CNC
9697,Clint Capela,Russell Westbrook,CNC
9698,Terrence Jones,C.J. Watson,CNC
9700,Bismack Biyombo,Terrence Jones,CC
9702,Terrence Jones,Nikola Vucevic,CNC
9703,Alexis Ajinca,Nikola Vucevic,CNC
9704,Alexis Ajinca,Nikola Vucevic,INC
9705,Bismack Biyombo,Terrence Jones,INC
9706,Serge Ibaka,Alexis Ajinca,CNC
9707,Tim Frazier,D.J. Augustin,CNC
9708,Serge Ibaka,Langston Galloway,CNC
9709,Terrence Jones,C.J. Watson,CC
9710,E'Twaun Moore,Evan Fournier,CC
9711,Bismack Biyombo,E'Twaun Moore,CNC
9712,E'Twaun Moore,Bismack Biyombo,IC
9714,Marcin Gortat,Gerald Henderson,CNC
9715,Hollis Thompson,John Wall,INC
9716,Marcin Gortat,Richaun Holmes,CNC
9717,Ersan Ilyasova,John Wall,CC
9718,Marcus Thornton,Dario Saric,INC
9719,Otto Porter Jr.,T.J. McConnell,CNC
9720,Gerald Henderson,Otto Porter Jr.,CNC
9721,Otto Porter Jr.,Gerald Henderson,CNC
9722,Otto Porter Jr.,Gerald Henderson,CC
9723,Otto Porter Jr.,Dario Saric,INC
9724,Tomas Satoransky,Robert Covington,CNC
9725,Tomas Satoransky,Sergio Rodriguez,CC
9726,Dario Saric,Marcus Thornton,CNC
9728,Marcin Gortat,Nik Stauskas,CNC
9729,Dario Saric,Markieff Morris,CNC
9730,John Wall,Dario Saric,CC
9732,Cody Zeller,Kent Bazemore,CNC
9733,Kemba Walker,Dennis Schroder,CNC
9734,Cody Zeller,Tim Hardaway Jr.,CNC
9736,Cody Zeller,Dennis Schroder,CNC
9737,Dennis Schroder,Kemba Walker,CNC
9738,Cody Zeller,Tim Hardaway Jr.,CNC
9739,Kyle Korver,Michael Kidd-Gilchrist,CC
9740,Kent Bazemore,Michael Kidd-Gilchrist,CNC
9741,Cody Zeller,Kent Bazemore,CC
9742,Cody Zeller,Tim Hardaway Jr.,CNC
9743,Kent Bazemore,Cody Zeller,CC
9744,Marvin Williams,Kyle Korver,CNC
9746,Tim Hardaway Jr.,Nicolas Batum,CNC
9747,Kyle Korver,Nicolas Batum,INC
9748,Cody Zeller,Kent Bazemore,CNC
9749,Marvin Williams,Kent Bazemore,CNC
9751,Nikola Jokic,DeMar DeRozan,CNC
9752,Nikola Jokic,DeMar DeRozan,CNC
9753,Kyle Lowry,Wilson Chandler,CNC
9754,Wilson Chandler,DeMar DeRozan,CNC
9755,Nikola Jokic,Jonas Valanciunas,CNC
9756,Nikola Jokic,Kyle Lowry,CNC
9757,Emmanuel Mudiay,Jonas Valanciunas,CC
9758,Jameer Nelson,Jonas Valanciunas,CNC
9759,Nikola Jokic,Jonas Valanciunas,CNC
9760,Jameer Nelson,DeMar DeRozan,CNC
9761,Jameer Nelson,DeMar DeRozan,CNC
9762,Patrick Patterson,Danilo Gallinari,CNC
9763,Nikola Jokic,Norman Powell,CNC
9765,Norman Powell,Wilson Chandler,CNC
9766,Nikola Jokic,Jonas Valanciunas,CNC
9768,Jonas Valanciunas,Wilson Chandler,CNC
9769,Norman Powell,Wilson Chandler,CC
9770,Emmanuel Mudiay,DeMar DeRozan,CNC
9771,Nikola Jokic,Patrick Patterson,CNC
9772,Nikola Jokic,Patrick Patterson,CNC
9773,Jameer Nelson,Kyle Lowry,CNC
9774,Patrick Patterson,Danilo Gallinari,CC
9775,Patrick Patterson,Nikola Jokic,CNC
9776,Nikola Jokic,Patrick Patterson,CNC
9778,DeMar DeRozan,Wilson Chandler,CNC
9779,Patrick Patterson,Nikola Jokic,CNC
9780,Nikola Jokic,Terrence Ross,CNC
9781,Kyle Lowry,Jameer Nelson,CNC
9782,Jonas Valanciunas,Jameer Nelson,CNC
9783,Kyle Lowry,Jameer Nelson,CC
9785,Emmanuel Mudiay,Kyle Lowry,CC
9786,Norman Powell,Emmanuel Mudiay,CC
9787,Wilson Chandler,Jonas Valanciunas,CC
9788,DeMar DeRozan,Emmanuel Mudiay,CNC
9789,DeMarcus Cousins,Blake Griffin,CNC
9790,DeAndre Jordan,Darren Collison,CNC
9791,DeMarcus Cousins,Chris Paul,CNC
9792,Matt Barnes,Jamal Crawford,CNC
9793,DeAndre Jordan,Darren Collison,CNC
9795,Blake Griffin,Rudy Gay,CNC
9796,Chris Paul,DeMarcus Cousins,CNC
9797,DeMarcus Cousins,Chris Paul,CC
9798,Blake Griffin,Darren Collison,CNC
9799,DeAndre Jordan,Darren Collison,CNC
9801,Chris Paul,Darren Collison,CNC
9802,Ty Lawson,Chris Paul,CC
9804,DeAndre Jordan,Darren Collison,CNC
9806,Andre Drummond,Al Horford,CNC
9807,Marcus Smart,Marcus Morris,CNC
9808,Kentavious Caldwell-Pope,Avery Bradley,CNC
9809,Al Horford,Ish Smith,CNC
9810,Andre Drummond,Isaiah Thomas,CNC
9811,Avery Bradley,Marcus Morris,CNC
9813,Kentavious Caldwell-Pope,Isaiah Thomas,CNC
9814,Andre Drummond,Al Horford,CNC
9815,Al Horford,Ish Smith,CNC
9816,Tobias Harris,Isaiah Thomas,CC
9817,Aron Baynes,Avery Bradley,CNC
9818,Kentavious Caldwell-Pope,Jae Crowder,CNC
9819,Al Horford,Ish Smith,CNC
9820,Al Horford,Ish Smith,CNC
9821,Ish Smith,Marcus Smart,CNC
9822,Aron Baynes,Al Horford,CNC
9824,Jae Crowder,Tobias Harris,CNC
9825,Al Horford,Aron Baynes,CNC
9826,Dwyane Wade,Chris Paul,CC
9827,Taj Gibson,Chris Paul,CNC
9828,Bobby Portis,Marreese Speights,CNC
9829,Jimmy Butler,Marreese Speights,CNC
9830,Taj Gibson,Chris Paul,INC
9831,Blake Griffin,Taj Gibson,CNC
9832,Marreese Speights,Jimmy Butler,CC
9833,Jimmy Butler,Chris Paul,CNC
9834,Rajon Rondo,Jamal Crawford,CNC
9836,Jimmy Butler,Blake Griffin,CNC
9837,Jimmy Butler,Blake Griffin,CC
9839,Chris Paul,Dwyane Wade,CNC
9840,Jamal Crawford,Jimmy Butler,CNC
9841,Isaiah Canaan,JJ Redick,CC
9845,Matthew Dellavedova,Stephen Curry,CNC
9846,Giannis Antetokounmpo,Draymond Green,CNC
9847,Jabari Parker,Kevin Durant,CNC
9849,Andre Iguodala,Matthew Dellavedova,CNC
9850,Giannis Antetokounmpo,Draymond Green,CNC
9851,Andre Iguodala,Matthew Dellavedova,CNC
9852,Giannis Antetokounmpo,Draymond Green,CNC
9853,Stephen Curry,Giannis Antetokounmpo,CNC
9855,Mirza Teletovic,Andre Iguodala,CNC
9856,Klay Thompson,Giannis Antetokounmpo,CNC
9857,Giannis Antetokounmpo,Draymond Green,CNC
9858,Draymond Green,Jabari Parker,CNC
9859,Draymond Green,Giannis Antetokounmpo,CNC
9860,Draymond Green,Giannis Antetokounmpo,CNC
9861,Draymond Green,Giannis Antetokounmpo,CNC
9862,Giannis Antetokounmpo,Klay Thompson,CC
9863,Draymond Green,Giannis Antetokounmpo,CNC
9864,Draymond Green,Giannis Antetokounmpo,CC
9865,Zaza Pachulia,Miles Plumlee,CNC
9866,Draymond Green,Giannis Antetokounmpo,CNC
9867,Jrue Holiday,Kemba Walker,CC
9868,Anthony Davis,Nicolas Batum,CNC
9869,Anthony Davis,Nicolas Batum,CNC
9870,Dante Cunningham,Nicolas Batum,CNC
9871,Michael Kidd-Gilchrist,Langston Galloway,CNC
9872,Dante Cunningham,Nicolas Batum,CNC
9874,Anthony Davis,Nicolas Batum,CNC
9876,Anthony Davis,Kemba Walker,CNC
9877,Anthony Davis,Michael Kidd-Gilchrist,CNC
9878,Marvin Williams,Anthony Davis,CC
9880,Frank Kaminsky,Dante Cunningham,CNC
9882,Anthony Davis,Nicolas Batum,CNC
9883,Nicolas Batum,Anthony Davis,CNC
9884,Nicolas Batum,Tim Frazier,CNC
9885,Dante Cunningham,Marvin Williams,CNC
9886,Anthony Davis,Michael Kidd-Gilchrist,CNC
9887,Michael Kidd-Gilchrist,Jrue Holiday,CNC
9889,Nicolas Batum,Langston Galloway,CNC
9890,Marvin Williams,Anthony Davis,CC
9891,Jrue Holiday,Kemba Walker,CC
9892,Dante Cunningham,Marco Belinelli,CNC
9893,Frank Kaminsky,Tim Frazier,CNC
9894,Anthony Davis,Frank Kaminsky,CNC
9896,Jrue Holiday,Marco Belinelli,CNC
9897,Langston Galloway,Nicolas Batum,CC
9898,Frank Kaminsky,Anthony Davis,CNC
9901,Langston Galloway,Kemba Walker,CNC
9902,Kemba Walker,Jrue Holiday,CC
9904,Michael Kidd-Gilchrist,Jrue Holiday,CC
9905,Frank Kaminsky,Jrue Holiday,CNC
9906,Anthony Davis,Nicolas Batum,CNC
9907,Frank Kaminsky,Tim Frazier,CC
9909,Andre Roberson,Jeff Teague,CNC
9911,Glenn Robinson,Russell Westbrook,CNC
9912,Andre Roberson,Jeff Teague,CC
9913,Enes Kanter,Jeff Teague,CNC
9914,Victor Oladipo,Myles Turner,CNC
9915,Glenn Robinson,Russell Westbrook,CNC
9917,Steven Adams,Myles Turner,CC
9918,Steven Adams,Myles Turner,CNC
9920,Joe Young,Enes Kanter,CNC
9921,Andre Roberson,Jeff Teague,CC
9922,Glenn Robinson,Anthony Morrow,CNC
9923,Russell Westbrook,Glenn Robinson,CNC
9925,Myles Turner,Andre Roberson,CNC
9927,Steven Adams,Jeff Teague,CNC
9928,Victor Oladipo,Jeff Teague,CC
9929,Steven Adams,Jeff Teague,CNC
9931,Steven Adams,Jeff Teague,CNC
9932,Joe Young,Steven Adams,CNC
9933,Steven Adams,Jeff Teague,CNC
9934,Russell Westbrook,Jeff Teague,CC
9935,Steven Adams,Monta Ellis,CNC
9936,Joffrey Lauvergne,Thaddeus Young,CNC
9937,Myles Turner,Russell Westbrook,CNC
9938,Myles Turner,Steven Adams,CNC
9940,Jerami Grant,Rodney Stuckey,CC
9941,Darren Collison,Kyle Lowry,INC
9942,Matt Barnes,Patrick Patterson,CNC
9943,Kyle Lowry,Garrett Temple,INC
9945,DeMarre Carroll,Rudy Gay,CNC
9946,Rudy Gay,DeMarre Carroll,CC
9948,Rudy Gay,Jonas Valanciunas,CNC
9949,Jonas Valanciunas,DeMarcus Cousins,CNC
9950,DeMarcus Cousins,DeMarre Carroll,CNC
9951,DeMarcus Cousins,DeMar DeRozan,CNC
9957,Kyle Lowry,Darren Collison,CNC
9959,Patrick Patterson,Darren Collison,CNC
9961,James Harden,Marcus Morris,CNC
9964,Kentavious Caldwell-Pope,James Harden,CNC
9965,Kentavious Caldwell-Pope,James Harden,CNC
9966,James Harden,Jon Leuer,CNC
9968,Clint Capela,Kentavious Caldwell-Pope,CNC
9969,James Harden,Kentavious Caldwell-Pope,CNC
9970,Clint Capela,Ish Smith,CNC
9971,Ish Smith,James Harden,CC
9972,Jon Leuer,James Harden,CC
9973,James Harden,Marcus Morris,CC
9974,Andre Drummond,Trevor Ariza,CNC
9975,Clint Capela,Kentavious Caldwell-Pope,IC
9977,Marcus Morris,Ryan Anderson,CNC
9978,Kentavious Caldwell-Pope,James Harden,INC
9979,Kentavious Caldwell-Pope,James Harden,CC
9980,Clint Capela,Andre Drummond,CC
9981,Stanley Johnson,James Harden,CC
9982,Andre Drummond,Trevor Ariza,INC
9983,Kentavious Caldwell-Pope,James Harden,CNC
9984,Giannis Antetokounmpo,Serge Ibaka,CNC
9985,Jeff Green,Jabari Parker,CNC
9986,Jeff Green,Giannis Antetokounmpo,CNC
9987,Matthew Dellavedova,Jeff Green,CNC
9988,Serge Ibaka,Jabari Parker,CC
9989,Jabari Parker,Serge Ibaka,CNC
9990,John Henson,Evan Fournier,CC
9991,Serge Ibaka,Jabari Parker,CC
9992,Tony Snell,Evan Fournier,CNC
9994,Zach LaVine,Isaiah Thomas,CC
9996,Jonas Jerebko,Gorgui Dieng,CNC
9998,Karl-Anthony Towns,Isaiah Thomas,CC
9999,Zach LaVine,Isaiah Thomas,INC
10000,Karl-Anthony Towns,Isaiah Thomas,CC
10001,Avery Bradley,Zach LaVine,CC
10002,Gorgui Dieng,Jonas Jerebko,CNC
10003,Ricky Rubio,Isaiah Thomas,CC
10004,Marcus Smart,Andrew Wiggins,CNC
10005,Salah Mejri,Patty Mills,CNC
10006,Kyle Anderson,Wesley Matthews,CC
10008,Salah Mejri,Pau Gasol,CNC
10009,Danny Green,Wesley Matthews,CC
10010,Harrison Barnes,Danny Green,CNC
10011,Pau Gasol,Harrison Barnes,CNC
10012,Dorian Finney-Smith,Manu Ginobili,CNC
10014,Danny Green,Harrison Barnes,CNC
10015,David Lee,Salah Mejri,INC
10016,Seth Curry,Manu Ginobili,CC
10017,Salah Mejri,Manu Ginobili,CNC
10018,Manu Ginobili,Seth Curry,CNC
10019,Patty Mills,Harrison Barnes,CNC
10020,Jonathan Gibson,Danny Green,CC
10021,Alex Len,John Wall,CNC
10022,John Wall,Devin Booker,CNC
10023,Marcin Gortat,Eric Bledsoe,CNC
10024,Jared Dudley,Markieff Morris,CNC
10026,Alex Len,Marcin Gortat,CNC
10027,Eric Bledsoe,John Wall,CC
10028,Kelly Oubre,Devin Booker,CNC
10029,PJ Tucker,Bradley Beal,CNC
10030,Marcin Gortat,Alex Len,CNC
10031,Alex Len,John Wall,CNC
10032,Marcin Gortat,Eric Bledsoe,CNC
10033,Alex Len,Kelly Oubre,CNC
10034,Alex Len,Kelly Oubre,CNC
10035,Marcin Gortat,Devin Booker,CNC
10036,Jared Dudley,John Wall,CC
10037,Kelly Oubre,Devin Booker,CNC
10038,Marcin Gortat,Alex Len,CNC
10040,Alex Len,Markieff Morris,CC
10041,John Wall,Devin Booker,CNC
10043,Jusuf Nurkic,Dwyane Wade,CNC
10044,Robin Lopez,Will Barton,CNC
10046,Rajon Rondo,Danilo Gallinari,CNC
10047,Emmanuel Mudiay,Jimmy Butler,CC
10048,Rajon Rondo,Emmanuel Mudiay,CC
10049,Robin Lopez,Emmanuel Mudiay,CC
10052,Wilson Chandler,Jimmy Butler,INC
10054,Rajon Rondo,Jusuf Nurkic,CNC
10055,Will Barton,Jimmy Butler,INC
10056,Will Barton,Robin Lopez,CNC
10058,Jusuf Nurkic,Dwyane Wade,CNC
10059,Dwyane Wade,Will Barton,CC
10060,Taj Gibson,Emmanuel Mudiay,CNC
10063,Jimmy Butler,Danilo Gallinari,CC
10067,Jusuf Nurkic,Rajon Rondo,CNC
10068,Ed Davis,Derrick Rose,CNC
10069,Ed Davis,Derrick Rose,CNC
10070,Kristaps Porzingis,Damian Lillard,INC
10071,Kristaps Porzingis,Ed Davis,CC
10072,Evan Turner,Derrick Rose,CNC
10073,Ed Davis,Derrick Rose,CNC
10074,Kristaps Porzingis,Damian Lillard,CNC
10075,Maurice Harkless,Derrick Rose,CNC
10076,Mindaugas Kuzminskas,Damian Lillard,CC
10077,Maurice Harkless,Carmelo Anthony,CNC
10081,Mindaugas Kuzminskas,Maurice Harkless,CNC
10083,Kristaps Porzingis,Maurice Harkless,CNC
10085,Maurice Harkless,Derrick Rose,CNC
10086,Carmelo Anthony,Meyers Leonard,CNC
10087,CJ McCollum,Mindaugas Kuzminskas,CC
10088,Kawhi Leonard,Marvin Williams,CNC
10089,Kawhi Leonard,Marvin Williams,CNC
10090,Tony Parker,Kemba Walker,CC
10092,Michael Kidd-Gilchrist,Pau Gasol,CNC
10093,Tony Parker,Kemba Walker,CNC
10094,LaMarcus Aldridge,Marvin Williams,CNC
10095,Kemba Walker,LaMarcus Aldridge,IC
10097,Danny Green,Nicolas Batum,CNC
10099,Kemba Walker,Tony Parker,CNC
10100,Frank Kaminsky,Danny Green,CNC
10101,Frank Kaminsky,Tony Parker,CC
10102,Kyle Anderson,Kemba Walker,CNC
10103,Nicolas Batum,Tony Parker,CC
10104,Vince Carter,Nik Stauskas,CNC
10105,Ersan Ilyasova,Marc Gasol,CC
10107,Mike Conley,Joel Embiid,CNC
10108,Vince Carter,Robert Covington,CC
10109,Marc Gasol,Joel Embiid,CNC
10110,Ersan Ilyasova,Mike Conley,CNC
10111,Robert Covington,Mike Conley,CNC
10112,Zach Randolph,Jerryd Bayless,CNC
10113,Joel Embiid,Zach Randolph,CNC
10114,Nik Stauskas,Mike Conley,CNC
10115,Mike Conley,Ersan Ilyasova,CC
10116,Marc Gasol,Joel Embiid,CNC
10117,Ersan Ilyasova,Marc Gasol,CNC
10119,Jahlil Okafor,Zach Randolph,CNC
10120,Ersan Ilyasova,Marc Gasol,CC
10121,Robert Covington,Mike Conley,CC
10122,Robert Covington,Mike Conley,INC
10123,Robert Covington,Zach Randolph,INC
10125,Andrew Harrison,Jerryd Bayless,CNC
10126,Robert Covington,Mike Conley,CC
10128,Vince Carter,Nik Stauskas,CNC
10129,Nik Stauskas,Mike Conley,CC
10130,Tony Allen,Robert Covington,CC
10131,Ersan Ilyasova,Mike Conley,CC
10132,Tony Allen,Nik Stauskas,CNC
10133,Steven Adams,Alonzo Gee,CNC
10135,Nikola Jokic,Jerami Grant,CNC
10136,Victor Oladipo,Nikola Jokic,CNC
10138,Steven Adams,Jamal Murray,CNC
10139,Jamal Murray,Victor Oladipo,CNC
10140,Nikola Jokic,Jerami Grant,INC
10141,Steven Adams,Jameer Nelson,CNC
10142,Jamal Murray,Russell Westbrook,CC
10143,Victor Oladipo,Wilson Chandler,CNC
10144,Steven Adams,Alonzo Gee,CNC
10145,Alonzo Gee,Russell Westbrook,CC
10146,Steven Adams,Jamal Murray,CC
10147,Nikola Jokic,Russell Westbrook,CNC
10149,Kenneth Faried,Steven Adams,CC
10150,Wilson Chandler,Andre Roberson,CNC
10151,Wilson Chandler,Steven Adams,CNC
10152,Jerami Grant,Jameer Nelson,CNC
10154,Jerami Grant,Wilson Chandler,CC
10155,Andre Roberson,Wilson Chandler,CNC
10157,Kenneth Faried,Russell Westbrook,CC
10158,Darrell Arthur,Russell Westbrook,CC
10159,Victor Oladipo,Jamal Murray,CNC
10161,Jason Terry,DeMar DeRozan,CNC
10162,Kyle Lowry,Giannis Antetokounmpo,CNC
10163,Giannis Antetokounmpo,DeMarre Carroll,CC
10164,Patrick Patterson,Tony Snell,CNC
10165,Kyle Lowry,Tony Snell,CNC
10166,DeMarre Carroll,Giannis Antetokounmpo,CNC
10167,Patrick Patterson,Giannis Antetokounmpo,CC
10168,Jabari Parker,DeMar DeRozan,CC
10169,Courtney Lee,Marco Belinelli,CNC
10170,Carmelo Anthony,Nicolas Batum,CNC
10171,Nicolas Batum,Carmelo Anthony,CNC
10172,Willy Hernangomez,Kemba Walker,CC
10173,Courtney Lee,Frank Kaminsky,CNC
10174,Michael Kidd-Gilchrist,Carmelo Anthony,CNC
10175,Marco Belinelli,Kristaps Porzingis,CNC
10176,Carmelo Anthony,Kemba Walker,CNC
10177,Marco Belinelli,Mindaugas Kuzminskas,CNC
10178,Courtney Lee,Michael Kidd-Gilchrist,CC
10180,Courtney Lee,Marco Belinelli,CNC
10182,Michael Kidd-Gilchrist,Carmelo Anthony,CNC
10184,Cody Zeller,Derrick Rose,CNC
10185,Derrick Rose,Kemba Walker,CNC
10186,Evan Fournier,Otto Porter Jr.,CNC
10187,Bradley Beal,Bismack Biyombo,CNC
10189,Evan Fournier,Marcin Gortat,CNC
10190,Elfrid Payton,John Wall,CC
10191,Serge Ibaka,John Wall,CNC
10192,Nikola Vucevic,Bradley Beal,CNC
10193,Serge Ibaka,John Wall,CNC
10194,John Wall,Elfrid Payton,CNC
10195,Elfrid Payton,John Wall,CC
10196,Nikola Vucevic,Bradley Beal,CNC
10197,Evan Fournier,Marcus Thornton,CNC
10198,Elfrid Payton,John Wall,CC
10199,Elfrid Payton,John Wall,CC
10200,Hassan Whiteside,Mike Conley,CC
10201,Hassan Whiteside,Tony Allen,CNC
10202,Marc Gasol,Hassan Whiteside,CNC
10203,Marc Gasol,Hassan Whiteside,CNC
10204,Marc Gasol,Hassan Whiteside,CC
10205,Josh Richardson,Mike Conley,CNC
10206,Tony Allen,Dion Waiters,CC
10207,James Johnson,Troy Williams,CNC
10208,Vince Carter,Hassan Whiteside,CNC
10209,Troy Williams,Dion Waiters,CNC
10210,Tyler Johnson,Mike Conley,CC
10212,Stephen Curry,Thabo Sefolosha,CNC
10213,Paul Millsap,Kevin Durant,CNC
10214,Draymond Green,Dwight Howard,CC
10216,Kyle Korver,Stephen Curry,CNC
10219,Draymond Green,Dennis Schroder,CNC
10220,Draymond Green,Dennis Schroder,CNC
10221,Draymond Green,Dennis Schroder,CNC
10223,Stephen Curry,Kent Bazemore,CNC
10224,Draymond Green,Kent Bazemore,CNC
10225,Draymond Green,Kent Bazemore,CNC
10226,Dennis Schroder,Stephen Curry,CC
10227,Draymond Green,Paul Millsap,CNC
10228,Darren Collison,John Wall,CNC
10229,John Wall,Darren Collison,CC
10230,Rudy Gay,John Wall,CNC
10232,Marcin Gortat,DeMarcus Cousins,CNC
10233,DeMarcus Cousins,Otto Porter Jr.,CC
10235,Garrett Temple,Bradley Beal,CNC
10236,DeMarcus Cousins,Bradley Beal,CNC
10237,Marcin Gortat,DeMarcus Cousins,CNC
10238,Rudy Gay,Marcin Gortat,CC
10239,Marcin Gortat,DeMarcus Cousins,CNC
10240,Marcin Gortat,Darren Collison,CNC
10241,DeMarcus Cousins,John Wall,CNC
10242,Matt Barnes,Marcin Gortat,CNC
10243,Marcin Gortat,DeMarcus Cousins,CNC
10244,Matt Barnes,Markieff Morris,INC
10246,Marcin Gortat,Garrett Temple,CNC
10248,Marcin Gortat,Darren Collison,CNC
10249,Matt Barnes,Otto Porter Jr.,CNC
10250,Marcin Gortat,Darren Collison,CNC
10253,Otto Porter Jr.,Rudy Gay,CNC
10255,DeMarcus Cousins,Marcin Gortat,CNC
10256,Marcin Gortat,DeMarcus Cousins,CC
10257,Darren Collison,Otto Porter Jr.,CC
10258,Darren Collison,John Wall,CC
10259,Matt Barnes,John Wall,CC
10260,Bradley Beal,DeMarcus Cousins,CNC
10261,Otto Porter Jr.,Garrett Temple,INC
10262,DeAndre Jordan,Joe Harris,CNC
10263,Brook Lopez,Chris Paul,CNC
10264,Sean Kilpatrick,Chris Paul,CC
10266,Sean Kilpatrick,Jamal Crawford,CNC
10267,Brook Lopez,DeAndre Jordan,CNC
10268,Chris Paul,Trevor Booker,CC
10269,Brandon Bass,Sean Kilpatrick,CNC
10270,Trevor Booker,Luc Mbah a Moute,CC
10272,Brook Lopez,Jamal Crawford,CNC
