,committing,disadvantaged,decision
35156,Paul Millsap,Rudy Gay,CC
35157,Patty Mills,Gary Harris,CC
35158,Patty Mills,Gary Harris,CNC
35159,Julius Randle,Joe Ingles,INC
35160,Rudy Gobert,Pelicans,CNC
35161,Elfrid Payton,Donovan Mitchell,CC
35162,Julius Randle,Joe Ingles,CNC
35163,Rudy Gobert,Jrue Holiday,CNC
35164,Julius Randle,Joe Ingles,CNC
35165,Rudy Gobert,Jrue Holiday,CNC
35166,Rudy Gobert,Jrue Holiday,CNC
35167,Jrue Holiday,Rudy Gobert,CNC
35168,Rudy Gobert,Julius Randle,CNC
35169,Rudy Gobert,Julius Randle,INC
35170,Rudy Gobert,Jrue Holiday,CNC
35171,Elfrid Payton,Joe Ingles,CNC
35172,Joe Ingles,Jrue Holiday,CNC
35173,Joe Ingles,Jrue Holiday,CNC
35174,Elfrid Payton,Joe Ingles,CNC
35175,Rudy Gobert,Elfrid Payton,CNC
35176,Rudy Gobert,Jrue Holiday,CNC
35177,Jrue Holiday,Donovan Mitchell,CNC
35178,Julius Randle,Rudy Gobert,CNC
35179,Rudy Gobert,Julius Randle,CC
35180,Rudy Gobert,Darius Miller,CNC
35181,Ricky Rubio,Pelicans,CNC
35182,Donovan Mitchell,Darius Miller,CC
35183,Joakim Noah,Al-Farouq Aminu,CNC
35184,Mike Conley,Damian Lillard,CC
35185,Al-Farouq Aminu,CJ Miles,CNC
35186,Joakim Noah,Maurice Harkless,CNC
35187,Maurice Harkless,Mike Conley,CC
35188,Jusuf Nurkic,Mike Conley,CNC
35189,Jusuf Nurkic,Joakim Noah,CNC
35190,Jusuf Nurkic,Mike Conley,CNC
35191,Jusuf Nurkic,Avery Bradley,CNC
35192,Jusuf Nurkic,Avery Bradley,INC
35193,Jusuf Nurkic,Avery Bradley,CNC
35194,CJ Miles,Jusuf Nurkic,CNC
35195,Damian Lillard,Mike Conley,CC
35196,Maurice Harkless,Joakim Noah,CNC
35197,CJ Miles,Jake Layman,CNC
35198,Avery Bradley,Damian Lillard,CNC
35199,Maurice Harkless,Mike Conley,CNC
35200,Joakim Noah,Damian Lillard,CNC
35201,Joakim Noah,Maurice Harkless,CNC
35202,Maurice Harkless,Joakim Noah,CC
35203,Damian Lillard,Mike Conley,CNC
35204,CJ McCollum,Mike Conley,CC
35205,Jusuf Nurkic,Mike Conley,CNC
35206,Joakim Noah,Damian Lillard,CC
35207,Jake Layman,Delon Wright,CC
35208,Mike Conley,Damian Lillard,CNC
35209,Mike Scott,Nikola Vucevic,CNC
35210,Mike Scott,Evan Fournier,CNC
35211,Nikola Vucevic,Jimmy Butler,CNC
35212,Nikola Vucevic,Jimmy Butler,CNC
35213,Jimmy Butler,Nikola Vucevic,CNC
35214,Tobias Harris,Jonathan Isaac,CNC
35215,Nikola Vucevic,Tobias Harris,INC
35217,Nikola Vucevic,Mike Scott,CNC
35218,Nikola Vucevic,Jimmy Butler,CNC
35219,Evan Fournier,Jimmy Butler,CC
35220,Evan Fournier,Tobias Harris,CNC
35222,Nikola Vucevic,JJ Redick,INC
35223,D.J. Augustin,Tobias Harris,CC
35224,Ben Simmons,Magic,CNC
35225,Jimmy Butler,Nikola Vucevic,CNC
35226,Nikola Vucevic,Tobias Harris,CC
35227,Nikola Vucevic,Jonathon Simmons,CNC
35228,Evan Fournier,Jimmy Butler,CC
35229,LaMarcus Aldridge,Vince Carter,CNC
35231,Vince Carter,LaMarcus Aldridge,CC
35232,Derrick White,Trae Young,CNC
35233,Derrick White,Trae Young,CNC
35234,Kevin Huerter,DeMar DeRozan,CNC
35235,John Collins,Rudy Gay,CNC
35236,Rudy Gay,Trae Young,CNC
35237,Derrick White,Trae Young,CNC
35238,Kevin Huerter,LaMarcus Aldridge,CNC
35240,DeMar DeRozan,Trae Young,INC
35241,LaMarcus Aldridge,Alex Len,CNC
35242,Vince Carter,Derrick White,CC
35244,Rudy Gay,Trae Young,CNC
35245,Tobias Harris,Robin Lopez,CNC
35246,Jimmy Butler,Robin Lopez,CNC
35247,Lauri Markkanen,Jimmy Butler,CC
35248,Robin Lopez,Ben Simmons,INC
35249,Jimmy Butler,Kris Dunn,CC
35250,Robin Lopez,Ben Simmons,CNC
35251,Mike Scott,Zach LaVine,CNC
35252,Ben Simmons,Robin Lopez,CNC
35253,Ben Simmons,Lauri Markkanen,CNC
35254,Ben Simmons,Zach LaVine,CC
35255,Robin Lopez,Ben Simmons,CNC
35256,Robin Lopez,Ben Simmons,CNC
35257,Mike Scott,Zach LaVine,CNC
35258,Otto Porter Jr.,Tobias Harris,CNC
35259,Robin Lopez,Jimmy Butler,CNC
35260,Mike Scott,Robin Lopez,CNC
35261,Mike Scott,Robin Lopez,IC
35262,Wayne Selden,Mike Scott,CNC
35263,Tobias Harris,Otto Porter Jr.,INC
35264,Zach LaVine,Jimmy Butler,CC
35265,Mike Scott,Zach LaVine,CC
35266,Robin Lopez,Mike Scott,CNC
35267,76ers,Bulls,CC
35268,Lauri Markkanen,Mike Scott,CNC
35269,Buddy Hield,Marcus Smart,CNC
35270,Bogdan Bogdanovic,Marcus Morris,CNC
35272,Jayson Tatum,Bogdan Bogdanovic,CNC
35273,Bogdan Bogdanovic,Jayson Tatum,CNC
35274,Bogdan Bogdanovic,Jayson Tatum,CC
35275,Willie Cauley-Stein,Marcus Smart,CNC
35277,Al Horford,De'Aaron Fox,CNC
35278,Buddy Hield,Jayson Tatum,CNC
